number,value,params_SA_kernel_size,params_SE_reduction_ratio,params_base,params_beta1,params_beta2,params_cardinality,params_dropout_rate,params_lr,params_wd
78,0.374,3,16,4,0.9500215182048016,0.9989014793449382,32,0.3510002234158779,0.00039687159239847704,6.447253477292131e-05
79,0.454,5,8,2,0.8403431702243684,0.9966908608281726,16,0.5852219488906173,0.00045975494228266627,1.5887362182705558e-05
80,0.488,9,16,4,0.8664203104115502,0.9882923954342544,64,0.32395235685630897,0.000748904638383637,4.650879551734417e-05
81,0.504,9,16,4,0.8673879059262956,0.9881444678125881,64,0.3150253006027046,0.00075465171070594,3.6138418141081606e-05
82,0.392,9,16,4,0.870819969454416,0.9881299936317043,64,0.33250623281707403,0.0007735994854303287,4.6425561923803716e-05
83,0.488,9,16,4,0.8662204803780643,0.9864170649219499,64,0.33731641612539015,0.0008998743871500616,3.777963070563871e-05
84,0.382,9,16,4,0.864900113547069,0.9866232680576007,64,0.3378228898172971,0.0006979915920183833,3.675157681558688e-05
85,0.484,9,16,4,0.8521312101341362,0.9872544024823402,64,0.3071312185906954,0.0006193304822609941,3.5522859414546794e-05
86,0.364,9,16,4,0.8528783698421709,0.9861806751738897,64,0.31004427927269773,0.000942446428503795,3.49124844924545e-05
87,0.46,9,16,4,0.8482392641089176,0.987903619623623,64,0.3051364068635938,0.000998244717921635,2.859643874586498e-05
88,0.372,9,16,4,0.8629468332788128,0.9889798417144474,64,0.32383976219900357,0.0006271986850114781,4.9561453047179526e-05
89,0.258,9,16,4,0.8363569293628501,0.9871725433465841,64,0.31465729538301485,1.9235658122350668e-05,3.9549353784244315e-05
90,0.406,9,16,4,0.8538664630362269,0.9887068248276345,64,0.33452861634060405,0.0007845761255220156,5.3981844777078e-05
91,0.454,9,16,4,0.8324046834646708,0.9853248543204174,64,0.4372431282816371,0.0005782153334005085,7.246402875648287e-05
92,0.292,9,16,4,0.8755764048364085,0.9860774059309934,64,0.3251425169998554,4.9835203908444796e-05,5.752219536093693e-05
93,0.504,9,16,4,0.8608434350493248,0.9837173795512529,64,0.4541266592119641,0.0006914984935623167,2.6677254136411323e-05
94,0.476,9,16,4,0.8592328623532419,0.9845320277787698,64,0.4541915287399196,0.0007043061913944282,2.6236742803304323e-05
95,0.468,9,16,4,0.8426566732008992,0.9868991300254937,64,0.46913902835243604,0.00084781746695281,3.426119374927149e-05
96,0.462,9,16,4,0.8513400556644543,0.9837849904661009,64,0.31088151250976076,0.0006239074480751197,2.197763000193144e-05
97,0.492,9,16,4,0.845138337107041,0.9832630090139927,64,0.4489445802997052,0.0004836323049313718,4.556987135174667e-05
